date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:34:56	89/89	---M-Z	200	added ('OK')	text/plain	etag:%2249-5f5f9ac88a486-gzip%22	https://groki.lol/robots.txt		(from )
05:34:57	143118/143118	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Dec%202023%2013:11:30%20GMT	https://groki.lol/	/Users/mannaushack/websites/Groki/groki.lol/index.html	(from )
05:34:58	91442/91442	---M--	200	added ('OK')	image/webp	etag:%2216532-5f4b9a2dbe380%22	https://groki.lol/wp-content/uploads/2023/02/cropped-rsw_1160h_1160.webp	/Users/mannaushack/websites/Groki/groki.lol/wp-content/uploads/2023/02/cropped-rsw_1160h_1160.webp	(from https://groki.lol/)
05:34:58	4136/4136	---M-Z	200	added ('OK')	text/css	date:Wed,%2015%20Feb%202023%2009:35:41%20GMT	https://groki.lol/wp-content/plugins/3r-elementor-timeline-widget/assets/css/style.css?ver=6.3.2	/Users/mannaushack/websites/Groki/groki.lol/wp-content/plugins/3r-elementor-timeline-widget/assets/css/stylee35d.css	(from https://groki.lol/)
05:34:59	5756/5756	---M-Z	200	added ('OK')	text/css	etag:%22167c-60890843d75c6-gzip%22	https://groki.lol/wp-content/themes/hello-elementor/style.min.css?ver=2.9.0	/Users/mannaushack/websites/Groki/groki.lol/wp-content/themes/hello-elementor/style.min5b0a.css	(from https://groki.lol/)
05:35:00	12439/12439	---M-Z	200	added ('OK')	text/css	date:Wed,%2025%20Oct%202023%2020:44:07%20GMT	https://groki.lol/wp-content/themes/hello-elementor/theme.min.css?ver=2.9.0	/Users/mannaushack/websites/Groki/groki.lol/wp-content/themes/hello-elementor/theme.min5b0a.css	(from https://groki.lol/)
05:35:01	2277/2277	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22f20308679dadc63462879ca1e5d090fb%22	https://groki.lol/feed/	/Users/mannaushack/websites/Groki/groki.lol/feed/index.html	(from https://groki.lol/)
05:35:01	1662/1662	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22f20308679dadc63462879ca1e5d090fb%22	https://groki.lol/comments/feed/	/Users/mannaushack/websites/Groki/groki.lol/comments/feed/index.html	(from https://groki.lol/)
05:35:02	117332/117332	---M-Z	200	added ('OK')	text/css	etag:%221ca54-60bb1b6ce22c4-gzip%22	https://groki.lol/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.18.0	/Users/mannaushack/websites/Groki/groki.lol/wp-content/plugins/elementor/assets/css/frontend-lite.minb3be.css	(from https://groki.lol/)
05:35:02	1263/1263	---M-Z	200	added ('OK')	text/css	date:Mon,%2004%20Dec%202023%2017:05:19%20GMT	https://groki.lol/wp-content/uploads/elementor/css/post-5.css?ver=1701709519	/Users/mannaushack/websites/Groki/groki.lol/wp-content/uploads/elementor/css/post-5e1f1.css	(from https://groki.lol/)
05:35:03	19571/19571	---M-Z	200	added ('OK')	text/css	date:Mon,%2004%20Dec%202023%2016:36:04%20GMT	https://groki.lol/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.25.0	/Users/mannaushack/websites/Groki/groki.lol/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min7bb8.css	(from https://groki.lol/)
05:35:04	12876/12876	---M-Z	200	added ('OK')	text/css	date:Mon,%2004%20Dec%202023%2016:36:04%20GMT	https://groki.lol/wp-content/plugins/elementor/assets/lib/swiper/css/swiper.min.css?ver=5.3.6	/Users/mannaushack/websites/Groki/groki.lol/wp-content/plugins/elementor/assets/lib/swiper/css/swiper.min48f5.css	(from https://groki.lol/)
